ID                  | Type                | Title
--------------------|---------------------|--------------------
114101328392        | assignee            | Assignee
114101328372        | group               | Group
114101328292        | description         | Description
360001547531        | textarea            | Event Description
360001519372        | text                | Fifth CRN
360001177092        | text                | Location of problem
360001230611        | text                | Missing device MAC
360001230631        | text                | Model
360001519392        | tagger              | Number of CRN requests
360001230851        | text                | Principal Investigator
360001177612        | text                | Printer name
360001519112        | text                | Prior Course Number
114101328352        | priority            | Priority
360001177632        | text                | RCS ID
360001230111        | text                | Requester's Phone Number
114101328312        | status              | Status
114101328272        | subject             | Subject
360001177112        | tagger              | Submission on behalf of someone else Yes/No?
360001797131        | textarea            | Summary/Resolution
360001546511        | text                | Third Course Number
360001546531        | text                | Third CRN
114101328332        | tickettype          | Type
360001177132        | text                | Requester's First and Last Name
360001177392        | tagger              | Request category (automated)
360001519152        | text                | Semester/Year Last Offered
360001230131        | tagger              | Requester's Department/School
360001177652        | tagger              | Impact
360001519212        | text                | First CRN
360001546551        | text                | Fourth CRN
360001177152        | text                | Requester's Alternate phone number
360001229931        | text                | Requester's Email
360001177192        | text                | Requester's Room
360001520452        | tagger              | Operating System
360001177672        | text                | Undeliverable Message
360001546571        | textarea            | Additional CRNs
360001177172        | tagger              | Requester's Building
360001229911        | text                | Category
360001177432        | text                | Alternate phone
360001519192        | text                | First Course Number
360001520472        | tagger              | Mobile Device
360001177692        | text                | User ID
360001519712        | tagger              | Design session?
360001177452        | text                | Client
360001520492        | tagger              | Connection Type
360001230451        | text                | Browser & version
360001547131        | tagger              | Type of Support
360001177212        | text                | Requester's Location of problem if different
360001546111        | tagger              | Campus Location
360001229951        | text                | Requester's Alternate email
360001177472        | tagger              | Did it work previously Yes/No?
360001519232        | text                | Second Course Number
360001520512        | tagger              | Firewall?
360001177732        | text                | Webpage
360001520772        | tagger              | Room Requested
360001176712        | text                | Phone Number(s)
360001177232        | tagger              | Received via
360001177492        | text                | Error code/message
360001519252        | text                | Second Section
360001520792        | date                | Date
360001230491        | text                | Header details
360001229731        | tagger              | Requester Status
360001519012        | text                | New Course Title
360001547431        | text                | Course Number
360001177512        | text                | HD Diags
360001519272        | text                | Third Section
360001520552        | text                | Course Title
360001520812        | tagger              | Start am/pm
360001230511        | text                | IP Address(es)
360001177012        | tagger              | Department
360001519032        | text                | New Course Number
360001547451        | date                | End Date
360001177532        | text                | Name of software
360001519292        | text                | Fourth Section
360001520572        | tagger              | Mac OS
360001546431        | text                | Prior Course Section(s)
360001520832        | text                | Street address
360001547971        | tagger              | Topic
360001230531        | text                | IP config
360001230791        | text                | OS/Host name
360001177032        | tagger              | School
360001519052        | tagger              | Semester Next Offered
360001547471        | text                | Start Time
360001177552        | text                | NSlookup
360001519312        | text                | Fourth Course Number
360001520592        | tagger              | Windows
360001546451        | tagger              | Section Handling
360001230291        | tagger              | Requester's Floor
360001520852        | text                | Zip code
360001547991        | text                | Campus affiliation
360001230551        | text                | IP config / All
360001546971        | tagger              | Type of User
360001229531        | text                | First and Last Name
360001177052        | tagger              | Building
360001519072        | tagger              | Based on existing site?
360001547491        | tagger              | End AM/PM
360001177572        | text                | OS
360001519332        | text                | Fifth Course Number
360001520612        | text                | Page URL
360001546471        | text                | First Section
360001520872        | text                | Country
360001546731        | text                | Requester RCS UserID
360001548011        | text                | City
360001230571        | text                | Jack ID
360001229551        | text                | Non-RPI Email Address
360001230831        | text                | Phone Extension
360001177072        | tagger              | Floor
360001519092        | text                | Prior Course Title
360001547511        | text                | End Time
360001177592        | text                | PC name
360001546491        | text                | Second CRN
360001520892        | text                | Purpose of research
360001548031        | text                | State
360001230591        | text                | MAC address
114101364012        | tagger              | Service
360001177712        | text                | Version
360001229711        | text                | RIN
360001230471        | text                | Error message
360001230871        | text                | Software name
360001519172        | text                | RCS userID
360001519352        | text                | Fifth Section
360002340252        | tagger              | Network Request Type
360002340552        | tagger              | Type of Device (select one)
360002340572        | tagger              | CISCO confirmation
360002340592        | textarea            | Script/Network Configuration
360002340612        | date                | Start Date
360002361951        | tagger              | Do you have a dial tone Yes/No?
360002361971        | text                | SSID
360002395312        | text                | When did the problem start?
360002395612        | tagger              | Support Request Category
360002395632        | tagger              | Email Issue Type
360002395652        | tagger              | Software Issue Type
360002405451        | tagger              | Printing Issue Type
360002566612        | tagger              | Phone Request Category
360002641372        | tagger              | OS
360002835072        | checkbox            | Redirected
360002946392        | text                | Billing Contact Name(s)
360002946552        | text                | Location for this install
360002971291        | text                | Billing Department/Campus Affiliation
360002971471        | text                | Billing Account Number(s)
360003201692        | multiselect         | Network Installation Type
360003230931        | tagger              | A phone jack is present in the room?
360003232311        | tagger              | MCP Laptop?
360003361972        | multiselect         | Browser Multi Select
360003400291        | text                | URL/Web Address
360003403311        | tagger              | MorningMail Request Category
360003449071        | date                | Date due
360003454851        | tagger              | Request Type
360003712652        | text                | Event Location
360003732311        | text                | Date & Time of event
360004052392        | tagger              | Web Services Request category
360004071131        | text                | Phone MAC Address
360004126352        | tagger              | Has content?
360004127632        | date                | When will the content/graphics be available?
360004277031        | text                | URL/Web Address containing the Broken/Inaccessible Link
360004534252        | tagger              | My computer is behind a Firewall
360004536792        | text                | Section
360004579311        | tagger              | LMS Request Category
360004579331        | text                | Browser Version
360004579351        | tagger              | Connection Type
360004581831        | text                | Course Number
360004581851        | text                | CRN
360004596892        | text                | Correct URL/Web Address
360004636491        | text                | URL/Web Address of the Broken Link
360004784392        | text                | New Course Title
360004784692        | tagger              | Campus Location
360004784712        | tagger              | Course based on an existing/previous course site?
360004785012        | tagger              | How many course numbers, sections and CRNs associated with this request?
360004828571        | text                | New Course Number
360004896691        | tagger              | Web Browser
360005133892        | text                | Seventh CRN
360005133912        | text                | Eighth Section
360005134072        | text                | Ninth Course Number
360005134092        | text                | Ninth CRN
360005134112        | text                | Tenth Course Number
360005134132        | text                | Tenth Section
360005134152        | text                | Eleventh Course Number 
360005134172        | text                | Eleventh CRN
360005135352        | text                | Twelfth Section
360005135372        | text                | Twelfth CRN
360005185631        | text                | Sixth Course Number
360005185651        | text                | Sixth Section
360005185671        | text                | Sixth CRN
360005185831        | text                | Seventh Course Number
360005185851        | text                | Seventh Section
360005185871        | text                | Eighth Course Number
360005185911        | text                | Eighth CRN
360005185931        | text                | Ninth Section
360005186091        | text                | Tenth CRN
360005186111        | text                | Eleventh Section
360005188371        | text                | Twelfth Course Number
360005188391        | text                | Thirteenth Course Number
360005188411        | text                | Thirteenth Section
360005188431        | text                | Thirteenth CRN
360005235991        | tagger              | MultiMedia Trouble Type
360005514152        | text                | Fifteenth Course Number
360005514172        | text                | Fifteenth CRN
360005514192        | text                | Sixteenth Course Number
360005514212        | text                | Sixteenth Section
360005514232        | text                | Seventeenth Course Number
